Metal,Stage,Reagent,Value
Cobalt,Mining,"neutralising agent, sodium hydroxide-equivalent",0.0
Cobalt,Mining,"hydrochloric acid, without water, in 30% solution state",0.0
Cobalt,Mining,"soda ash, light",0.0
Cobalt,Mining,"quicklime, milled, packed",0.0
Cobalt,Mining,sulfuric acid,0.0
Cobalt,Mining,"sodium hydroxide, without water, in 50% solution state",0.0
Cobalt,Mining,"quicklime, milled, loose",0.0
Cobalt,Mining,"hydrogen peroxide, without water, in 50% solution state",0.0
Cobalt,Mining,"carbon dioxide, liquid",0.0
Cobalt,Mining,bentonite,0.0
Cobalt,Mining,sulfur,0.0
Cobalt,Mining,magnesium oxide,0.0
Cobalt,Mining,"limestone, crushed, for mill",0.0
Cobalt,Mining,"lime, hydraulic",0.0
Cobalt,Mining,"soda ash, dense",0.0
Cobalt,Mining,ammonium bicarbonate,0.0
Cobalt,Mining,lime,0.0
Cobalt,Mining,"limestone, crushed, washed",0.0
Cobalt,Mining,disodium disulphite,0.0
Cobalt,Mining,"diesel, collector in flotation",0.0
Cobalt,Mining,"nitric acid, without water, in 50% solution state",0.0
Cobalt,Mining,hydrogen fluoride,0.0
Cobalt,Mining,pitch,0.0
Cobalt,Mining,"nitrogen, liquid",0.0
Cobalt,Mining,"phosphoric acid, fertiliser grade, without water, in 70% solution state",0.0
Cobalt,Mining,iron sulfate,0.0
Cobalt,Mining,coke,0.0
Cobalt,Mining,"aluminium sulfate, powder",0.0
Cobalt,Mining,"chlorine, liquid",0.0
Cobalt,Mining,"chlorine, gaseous",0.0
Cobalt,Mining,"iron (III) chloride, without water, in 40% solution state",0.0
Cobalt,Mining,"lime, hydrated, packed",0.0
Cobalt,Mining,sodium hydrogen sulfite,0.0
Cobalt,Mining,sodium pyrophosphate,0.0
Cobalt,Mining,"ammonia, anhydrous, liquid",0.0
Cobalt,Mining,hydrogen sulfide,0.0
Cobalt,Mining,"oxygen, liquid",0.0
Cobalt,Mining,formaldehyde,0.0
Cobalt,Mining,"hydrogen, gaseous, medium pressure, merchant",0.0
Cobalt,Mining,naphthalene sulfonic acid,0.0
Cobalt,Mining,"sodium chloride, powder",0.0
