Raw material,Stage,Source,Value
"Lithium, brine",Mining,Electricity consumption,0.005733768
"Lithium, brine",Mining,Process heating,0
"Lithium, brine",Mining,Fuels consumption,0.101771807
"Lithium, brine",Mining,Reagents consumption,0
"Lithium, brine",Mining,Process emissions,0
"Lithium, brine",Mining,Other,0.101601732
"Lithium, brine",Concentration,Electricity consumption,0.015286064
"Lithium, brine",Concentration,Process heating,0.009188232
"Lithium, brine",Concentration,Fuels consumption,0
"Lithium, brine",Concentration,Reagents consumption,0.383582921
"Lithium, brine",Concentration,Process emissions,0
"Lithium, brine",Concentration,Other,0.160532677
"Lithium, brine",Refining,Electricity consumption,1.028197776
"Lithium, brine",Refining,Process heating,3.237743224
"Lithium, brine",Refining,Fuels consumption,0.304538351
"Lithium, brine",Refining,Reagents consumption,2.354007537
"Lithium, brine",Refining,Process emissions,0
"Lithium, brine",Refining,Other,6.46E-07
"Lithium, spodumene",Mining,Electricity consumption,0
"Lithium, spodumene",Mining,Process heating,0
"Lithium, spodumene",Mining,Fuels consumption,0
"Lithium, spodumene",Mining,Reagents consumption,0
"Lithium, spodumene",Mining,Process emissions,0
"Lithium, spodumene",Mining,Other,0
"Lithium, spodumene",Concentration,Electricity consumption,0.058511336
"Lithium, spodumene",Concentration,Process heating,0.083202018
"Lithium, spodumene",Concentration,Fuels consumption,0.016618658
"Lithium, spodumene",Concentration,Reagents consumption,0
"Lithium, spodumene",Concentration,Process emissions,0
"Lithium, spodumene",Concentration,Other,0.809394832
"Lithium, spodumene",Refining,Electricity consumption,3.330629196
"Lithium, spodumene",Refining,Process heating,9.875524166
"Lithium, spodumene",Refining,Fuels consumption,0
"Lithium, spodumene",Refining,Reagents consumption,2.776898303
"Lithium, spodumene",Refining,Process emissions,0
"Lithium, spodumene",Refining,Other,0.28654415
Cobalt,Mining,Electricity consumption,0
Cobalt,Mining,Process heating,0
Cobalt,Mining,Fuels consumption,2.958650988
Cobalt,Mining,Reagents consumption,0
Cobalt,Mining,Process emissions,0
Cobalt,Mining,Other,0
